"","linII.time","ips","ips.interval","ips.adp","log.ips","log.ips.interval","log.ips.adp","mds","mds.interval","mds.apd","log.mds","log.mds.interval","log.mds.apd","ptt","ptt.interval","ptt.adp","log.ptt","log.ptt.interval","log.ptt.adp"
"20750",15750,1.16875,0.206850611319439,0,0.738734713432028,0.083651904383048,0,1.3448275862069,0.26238275225354,0,0.810858211651694,0.100206435647759,0,2.54545454545455,0.350598960485544,0,1.23602152660883,0.0925657502351484,0
"21000",16000,1.11578947368421,0.183847403122666,0,0.717884213678142,0.0658723376130656,0,1.21951219512195,0.128273948367793,0,0.782151716486128,0.0540246647169953,0,2.76470588235294,0.341781993850059,1,1.29029283608038,0.0831278890014745,0
"21250",16250,1.04242424242424,0.144511691628903,0,0.692299058240546,0.062743922858692,0,1.1025641025641,0.0964636484655021,0,0.734733345494116,0.0425199264692212,0,2.25,0.196788735581112,0,1.16317136705253,0.0570150595679662,0
"21500",16500,0.922222222222222,0.126182309808634,0,0.629186483532333,0.0705529381255157,0,1.075,0.129166062860458,0,0.709172960045469,0.0696439074419455,0,2.25,0.225891445104805,0,1.15913770948143,0.061730940541766,0
"21750",16750,0.846808510638298,0.131264533905082,0,0.575999164999812,0.0714085613136361,0,1.12068965517241,0.128251433642456,0,0.728101069189959,0.0619107202071843,0,2.16981132075472,0.14685389038209,0,1.13957928912017,0.0436056228285954,0
"22000",17000,0.962790697674419,0.093392878067321,0,0.658457532262789,0.0533543687337107,0,1.13636363636364,0.150678649292729,0,0.732684532107423,0.0700084808415246,0,2.12820512820513,0.218150482143103,0,1.11708454871175,0.0647926066458234,0
"22250",17250,1.05714285714286,0.112,0,0.715528305762123,0.0373291960300105,0,1,0,0,0.693147180559945,0,0,2.22222222222222,0.373485807643686,0,1.13932565876258,0.105745324603518,0
"22500",17500,1,0.0972731667291512,0,0.683227109096091,0.0494645093189905,0,1,0.181202064100242,0,0.661182505843081,0.0985696534757264,0,1.83333333333333,0.225910931103987,0,1.01414039114558,0.0998498672370565,0
"22750",17750,0.981818181818182,0.133908309158573,0,0.660803521318742,0.0666264338782157,0,1,0.147740558843104,0,0.666994264882511,0.0834002483654338,0,2.09375,0.135180397688995,0,1.1219017630962,0.042371384981355,0
"23000",18000,1,NA,NA,0.693147180559945,NA,NA,1,NA,NA,0.693147180559945,NA,NA,1,NA,NA,0.693147180559945,NA,NA
